,BLCA,BRCA,COAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,READ,STAD,THCA,UCEC
Metabolism of RNA,0.45767079111125764,0.3652235053127196,0.56483096432551,0.647400385278011,0.4382378038290785,0.33899555302722334,0.33015819290735776,0.7860984091841824,0.4472977416818353,0.6609501108401257,0.27411719832255893,0.5266077066969658,0.5555140367871834,0.2025869215554763,0.4301012503563068
Mitophagy,0.5052924456706093,0.4252453050675852,0.4854495692329117,0.5223986467385824,0.40986476305449693,0.3894835470866875,0.4204563805692486,0.6869853269250504,0.4296921999671707,0.7042256631014743,0.2662299903642729,0.5072259336002843,0.47610628471989785,0.21773711205783214,0.45695799349757277
Muscle contraction,1.0352996428160357,0.8713703445875945,0.8037814726554892,0.6535146628471348,0.8278127572741715,0.7737675199720523,0.8950950319981094,0.5086360790118589,0.752757617364886,1.0190642344068475,0.6146147546421254,1.0337848947086146,0.6847141257859429,0.5195449526724119,1.1894324502684743
Neuronal System,0.6334827866175652,0.6013319387666096,0.6548816742113718,0.6025208202356797,0.48184140709231105,0.7247415504940392,0.7260831109508687,0.5320440461324668,0.6163746187073008,0.835248490427707,0.4384401399667019,0.7755705869075963,0.5532187352602208,0.5054961848206417,0.8407927887759109
Organelle biogenesis and maintenance,0.4720860166602085,0.41428926045715725,0.5142497428386377,0.5446565570565087,0.4423969753549274,0.464816924780714,0.40920735525316254,0.7429569247795631,0.4677183506513251,0.6304775499452796,0.2588884025106465,0.5065263324764753,0.4854355695934055,0.30922799787192834,0.5868605888487162
Programmed Cell Death,0.60587720912034,0.567869529709692,0.5537335944333739,0.775263480702369,0.5449380704190342,0.5620375395341479,0.47778574248775696,0.7015270466552491,0.5326790179829103,0.8877639605230154,0.2783428889226652,0.5572651631627902,0.5267470056191708,0.32678009090138077,0.6808031680255463
Protein localization,0.4489870117484551,0.4195905735594371,0.5683727583449336,0.49873736924890766,0.40403750891544,0.5704672044278655,0.5661376114357682,0.6774875000643052,0.44823940511840693,0.6133317353475242,0.33685796358763226,0.5462860420051281,0.4361826639148384,0.25363221558731947,0.5532863412399243
Reproduction,0.8381960362772778,0.7492069240694514,0.5084207970844467,0.8570133717102292,0.6071948121767059,0.4752502341735004,0.3942536750287342,0.693597394098357,0.7205548677096143,0.8793452340382274,0.4408869599038485,0.4337345003066973,0.5862174482590948,0.26727049021946436,0.9649026342826714
Signal Transduction,0.6513025761967095,0.6391482106674057,0.60269995331203,0.6416370396792378,0.5282988657041129,0.6417025445669945,0.6205452045594464,0.5979234050115105,0.6068170491931526,0.8274500026143616,0.37182658612605757,0.6559004175091919,0.5551100872090406,0.4130445691170816,0.7871711934249037
Transport of small molecules,0.6171604658010774,0.6694070668658287,0.8109451159922998,0.6725673555011525,0.6330925301951753,0.992294984460105,0.9962477594298041,0.6573147419166118,0.6466176180680356,0.8869727168598729,0.4274112240478757,0.8425761985234269,0.6180385986543211,0.4533904726742327,0.8095158721763013
Vesicle-mediated transport,0.5394320349321842,0.6015324081104977,0.7171604080470533,0.5838339734288397,0.5201831711440703,0.6418599050415462,0.5577565149307162,0.7816040380940268,0.7030936921427968,0.8066828778774471,0.34459334345551246,0.7725521658596729,0.5544184178577978,0.42367676843128466,0.6882836499572663
