File Name,Case ID,Sample ID,Sample Type
041e2dc3-7073-4ff8-b764-c1a75850977c.FPKM.txt,TCGA-FS-A4F2,TCGA-FS-A4F2-06A,Metastatic
0934e651-4cea-4450-b95e-25ee99e276f4.FPKM.txt,TCGA-EB-A5SF,TCGA-EB-A5SF-01A,Primary Tumor
d91854e8-4693-42c9-8f83-3152d42b2213.FPKM.txt,TCGA-YG-AA3O,TCGA-YG-AA3O-06A,Metastatic
1ad750c4-add7-42e7-936b-30d3d2cb1738.FPKM.txt,TCGA-BF-A1PZ,TCGA-BF-A1PZ-01A,Primary Tumor
e27b2a88-a903-45cc-a306-f0b44ecfd336.FPKM.txt,TCGA-D3-A1Q3,TCGA-D3-A1Q3-06A,Metastatic
893a2cda-edeb-464b-9afa-7b147bcc75e8.FPKM.txt,TCGA-D3-A8GK,TCGA-D3-A8GK-06A,Metastatic
14eddbc5-a74d-4169-90dc-d47087cb14fd.FPKM.txt,TCGA-DA-A1IC,TCGA-DA-A1IC-06A,Metastatic
73ca07ee-562f-4aef-ab6e-52d7e63b1889.FPKM.txt,TCGA-BF-A3DL,TCGA-BF-A3DL-01A,Primary Tumor
d3cd3b2b-f200-411a-9aec-0aab57b9f67f.FPKM.txt,TCGA-EB-A553,TCGA-EB-A553-01A,Primary Tumor
96e0b14e-615c-48f4-a653-c616c2aa5a48.FPKM.txt,TCGA-D3-A2JL,TCGA-D3-A2JL-06A,Metastatic
f6027fd4-41ae-4b63-9ae4-e24d5dee62c5.FPKM.txt,TCGA-EE-A3JI,TCGA-EE-A3JI-06A,Metastatic
1c012ced-01fa-4699-8bbb-4e313f760af8.FPKM.txt,TCGA-EE-A29T,TCGA-EE-A29T-06A,Metastatic
cbd71b3b-9dc7-4276-bd9c-e24a039aa77c.FPKM.txt,TCGA-GF-A4EO,TCGA-GF-A4EO-06A,Metastatic
65312630-1884-4160-b812-d932fc0a7c78.FPKM.txt,TCGA-EE-A2MK,TCGA-EE-A2MK-06A,Metastatic
c7343494-e044-41b4-ba86-19a6526f5ec5.FPKM.txt,TCGA-WE-A8ZX,TCGA-WE-A8ZX-06A,Metastatic
7457bcad-9dbc-43ec-bcdf-e076e955bb7d.FPKM.txt,TCGA-D3-A5GR,TCGA-D3-A5GR-06A,Metastatic
a58be04b-e595-4124-81ad-accc532db49d.FPKM.txt,TCGA-BF-AAOX,TCGA-BF-AAOX-01A,Primary Tumor
08b7568c-c002-43ff-8f86-4be189aada9e.FPKM.txt,TCGA-FS-A4FD,TCGA-FS-A4FD-06A,Metastatic
aae6a581-f31f-41d8-a635-444486314ddb.FPKM.txt,TCGA-WE-A8ZQ,TCGA-WE-A8ZQ-06A,Metastatic
35d4706b-4263-4717-86f1-b11caac5d152.FPKM.txt,TCGA-EE-A29V,TCGA-EE-A29V-06A,Metastatic
22e53530-5ff4-43cc-8dd7-b775ff189c03.FPKM.txt,TCGA-D3-A2JE,TCGA-D3-A2JE-06A,Metastatic
cfb52011-5d71-4587-b828-e0e2b115325d.FPKM.txt,TCGA-D3-A1Q9,TCGA-D3-A1Q9-06A,Metastatic
90994cf0-763d-43a4-980d-6c8c5ff24dac.FPKM.txt,TCGA-W3-AA1Q,TCGA-W3-AA1Q-06A,Metastatic
48d8f465-e9dc-4550-9371-a1207302be8d.FPKM.txt,TCGA-DA-A95X,TCGA-DA-A95X-06A,Metastatic
f28f032b-f6c1-4292-836f-f92ef89a96f2.FPKM.txt,TCGA-WE-A8K1,TCGA-WE-A8K1-06A,Metastatic
633bd886-75b6-4d46-8e6d-c86250ed1dc4.FPKM.txt,TCGA-FW-A5DX,TCGA-FW-A5DX-01A,Primary Tumor
444e9b82-d8c5-41b8-a51b-45d9717fbce0.FPKM.txt,TCGA-ER-A19G,TCGA-ER-A19G-06A,Metastatic
0e1003ba-778c-4d81-a0dc-246dad82fd22.FPKM.txt,TCGA-DA-A1I4,TCGA-DA-A1I4-06A,Metastatic
1d0ed301-414c-4945-a65b-5bfba4360d65.FPKM.txt,TCGA-EE-A2GB,TCGA-EE-A2GB-06A,Metastatic
cfe24c0a-1d21-49bb-8279-838a4f059e8a.FPKM.txt,TCGA-XV-AAZY,TCGA-XV-AAZY-01A,Primary Tumor
61f6cb8d-5b6e-4385-bd7e-3a75e3c94ff5.FPKM.txt,TCGA-QB-AA9O,TCGA-QB-AA9O-06A,Metastatic
cf69963d-bc7b-4f0b-b03d-78651fa8a458.FPKM.txt,TCGA-EE-A2GS,TCGA-EE-A2GS-06A,Metastatic
6aec85fb-0942-4a9b-bbe9-65dd5236895c.FPKM.txt,TCGA-D3-A3MR,TCGA-D3-A3MR-06A,Metastatic
8dadb8c5-a10b-4e48-8f2b-54471344d32b.FPKM.txt,TCGA-D3-A5GL,TCGA-D3-A5GL-06A,Metastatic
f771e020-5c04-45fe-a4dd-44457c5faffe.FPKM.txt,TCGA-ER-A195,TCGA-ER-A195-06A,Metastatic
60775137-31fe-425b-aaac-ac5028400729.FPKM.txt,TCGA-D3-A3MO,TCGA-D3-A3MO-06A,Metastatic
