Sample ID,Sample Type
TCGA-FR-A3R1-01A,Primary Tumor
TCGA-RP-A6K9-06A,Metastatic
TCGA-GF-A3OT-06A,Metastatic
TCGA-WE-A8ZT-06A,Metastatic
TCGA-EE-A29P-06A,Metastatic
TCGA-D9-A6E9-06A,Metastatic
TCGA-FS-A1ZF-06A,Metastatic
TCGA-FR-A728-01A,Primary Tumor
TCGA-EE-A2A6-06A,Metastatic
TCGA-D3-A8GD-06A,Metastatic
TCGA-DA-A1I7-06A,Metastatic
TCGA-D3-A8GE-06A,Metastatic
TCGA-Z2-A8RT-06A,Metastatic
TCGA-FR-A7U9-06A,Metastatic
TCGA-W3-AA1R-06A,Metastatic
TCGA-EB-A3XC-01A,Primary Tumor
TCGA-D3-A1QA-06A,Metastatic
TCGA-BF-A5EQ-01A,Primary Tumor
TCGA-Z2-AA3V-06A,Metastatic
TCGA-EE-A2GU-06A,Metastatic
TCGA-ER-A19S-06A,Metastatic
TCGA-GF-A6C8-06A,Metastatic
TCGA-GN-A26A-06A,Metastatic
TCGA-GN-A267-06A,Metastatic
TCGA-BF-A1Q0-01A,Primary Tumor
TCGA-EE-A2GL-06A,Metastatic
TCGA-GN-A4U8-11A,Solid Tissue Normal
TCGA-D3-A2JF-06A,Metastatic
TCGA-D3-A3C1-06A,Metastatic
TCGA-ER-A19H-06A,Metastatic
TCGA-ER-A2NG-06A,Metastatic
TCGA-EB-A24C-01A,Primary Tumor
TCGA-EE-A20I-06A,Metastatic
TCGA-GF-A6C9-06A,Metastatic
TCGA-ER-A19K-01A,Primary Tumor
TCGA-DA-A3F8-06A,Metastatic
TCGA-EB-A44Q-06A,Metastatic
TCGA-D3-A5GU-06A,Metastatic
TCGA-EB-A57M-01A,Primary Tumor
TCGA-ER-A2NE-06A,Metastatic
TCGA-EE-A29D-06A,Metastatic
TCGA-D3-A3C3-06A,Metastatic
TCGA-EE-A2MR-06A,Metastatic
TCGA-ER-A19O-06A,Metastatic
TCGA-D3-A5GS-06A,Metastatic
TCGA-GN-A268-06A,Metastatic
TCGA-YG-AA3N-01A,Primary Tumor
TCGA-BF-A3DN-01A,Primary Tumor
TCGA-WE-AA9Y-06A,Metastatic
TCGA-GN-A8LN-01A,Primary Tumor
TCGA-BF-A1PX-01A,Primary Tumor
TCGA-D3-A2JC-06A,Metastatic
TCGA-FS-A1ZD-06A,Metastatic
TCGA-EE-A2MH-06A,Metastatic
TCGA-WE-A8ZM-06A,Metastatic
TCGA-D9-A1JX-06A,Metastatic
TCGA-FS-A4FB-06A,Metastatic
TCGA-EB-A3XE-01A,Primary Tumor
TCGA-WE-A8JZ-06A,Metastatic
TCGA-EE-A29C-06A,Metastatic
TCGA-FR-A3YN-06A,Metastatic
TCGA-EB-A431-01A,Primary Tumor
TCGA-ER-A3PL-06A,Metastatic
TCGA-D3-A2J7-06A,Metastatic
TCGA-BF-AAP0-06A,Metastatic
TCGA-D3-A2JB-06A,Metastatic
TCGA-EB-A97M-01A,Primary Tumor
TCGA-GN-A9SD-06A,Metastatic
TCGA-EE-A2A2-06A,Metastatic
TCGA-EE-A2GC-06A,Metastatic
TCGA-D3-A5GN-06A,Metastatic
TCGA-BF-AAP4-01A,Primary Tumor
TCGA-D3-A8GI-06A,Metastatic
TCGA-D9-A6EC-06A,Metastatic
TCGA-EB-A44O-01A,Primary Tumor
TCGA-D3-A1QA-07A,Additional Metastatic
TCGA-FS-A4F5-06A,Metastatic
TCGA-EE-A2ML-06A,Metastatic
TCGA-EE-A20H-06A,Metastatic
TCGA-D9-A6EG-06A,Metastatic
TCGA-3N-A9WC-06A,Metastatic
TCGA-FS-A1YW-06A,Metastatic
TCGA-XV-AAZV-01A,Primary Tumor
TCGA-EE-A29N-06A,Metastatic
TCGA-GN-A264-06A,Metastatic
TCGA-FR-A8YE-06A,Metastatic
TCGA-FW-A3TV-06A,Metastatic
TCGA-ER-A196-01A,Primary Tumor
TCGA-D3-A8GC-06A,Metastatic
TCGA-EE-A3JD-06A,Metastatic
TCGA-EB-A4IS-01A,Primary Tumor
TCGA-YD-A9TB-06A,Metastatic
TCGA-D3-A3MV-06A,Metastatic
TCGA-FS-A1ZU-06A,Metastatic
TCGA-QB-A6FS-06A,Metastatic
TCGA-EB-A24D-01A,Primary Tumor
TCGA-EE-A2MI-06A,Metastatic
TCGA-HR-A2OG-06A,Metastatic
TCGA-EB-A42Y-01A,Primary Tumor
TCGA-FR-A3YO-06A,Metastatic
TCGA-D3-A51K-06A,Metastatic
TCGA-D3-A8GQ-06A,Metastatic
TCGA-ER-A19B-06A,Metastatic
TCGA-D3-A2JN-06A,Metastatic
TCGA-EE-A2M5-06A,Metastatic
TCGA-EE-A2MM-06A,Metastatic
TCGA-DA-A1I5-06A,Metastatic
TCGA-EE-A29M-06A,Metastatic
TCGA-BF-AAP2-01A,Primary Tumor
TCGA-GN-A4U4-06A,Metastatic
TCGA-BF-AAP8-01A,Primary Tumor
TCGA-FS-A1ZH-06A,Metastatic
TCGA-D9-A4Z2-01A,Primary Tumor
TCGA-YG-AA3P-06A,Metastatic
