,0
BLCA,0.3127163831185424
BRCA,0.2900469992888604
COAD,0.33917868025243303
ESCA,0.3388058756072567
HNSC,0.2704928305411391
KIRC,0.377194334940751
KIRP,0.3227040883469708
LIHC,0.3076838674175468
LUAD,0.33423653617816257
LUSC,0.425510799497586
PRAD,0.205263241080554
READ,0.36139908799498616
STAD,0.37147336375169193
THCA,0.232242181586292
UCEC,0.3788535370202181
